area,tecnologia,defecto,causa,proyecto
BACKEND/ENSAMBLE FINAL,HORNO,INSUFICIENCIA DE SOLDADURA LADO A ,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,INSUFICIENCIA DE SOLDADURA LADO B ,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,INSUFICIENCIA DE SOLDADURA LADO B ,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,PERLAS DE SOLDADURA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,PERLAS DE SOLDADURA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,CORTOS,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,CORTOS,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,CORTOS,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,SOLDADURA POROSA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,SOLDADURA POROSA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,SOLDADURA POROSA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,COMPONENTE DAÑADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,COMPONENTE DAÑADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,COMPONENTE FALTANTE,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,COMPONENTE FALTANTE,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,COMPONENTE ARRANCADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,COMPONENTE ARRANCADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,COMPONENTE DE CANTO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,COMPONENTE DE CANTO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,DESPLAZADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,TOMBSTONE,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,TOMBSTONE,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,CONTAMINACION,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,CONTAMINACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,CONTAMINACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,CONTAMINACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,PCB ABORTADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,UNIDAD CAIDA AL PISO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,LIBERACION DE EQUIPO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,PRUEBA DE INGENIERIA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,SIN PRUEBA ANTERIOR,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,COMPONENTE ARRANCADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,HORNO,COMPONENTE ARRANCADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,PANEL ATORADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,PANEL ATORADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,PANEL ATORADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO A ,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO A ,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO B ,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO B ,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,PERLAS DE SOLDADURA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,PERLAS DE SOLDADURA,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,EXCESO DE SOLDADURA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,EXCESO DE SOLDADURA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,EXCESO DE SOLDADURA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,CORTOS,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,CORTOS,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,CORTOS,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,SOLDADURA POROSA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,SOLDADURA POROSA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,SOLDADURA POROSA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,CONTAMINACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,CONTAMINACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,CONTAMINACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,CONTAMINACION,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,PCB ABORTADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,UNIDAD CAIDA AL PISO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,SET UP DE EQUIPO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,SET UP DE EQUIPO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,LIBERACION DE EQUIPO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,PRUEBA DE INGENIERIA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,IMPRESION DE PASTA,PCB DEFECTUOSO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,MATERIAL OBSOLETO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,COBRE EXPUESTO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,COBRE EXPUESTO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,COBRE EXPUESTO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,COBRE EXPUESTO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,DATA MATRIX ILEGIBLE,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,DATA MATRIX ILEGIBLE,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,DATA MATRIX INCORRECTO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,DATA MATRIX INCORRECTO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,PANEL ATORADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,PANEL ATORADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,PANEL ATORADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,SIN IMPRESION DE DATA MATRIX,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,DATA MATRIX DUPLICADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,DATA MATRIX DUPLICADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,LASER,LIBERACION DE EQUIPO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD GOLPEADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD MANCHADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD RAYADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PRUEBA DESTRUCTIVA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PROBLEMA SOFTWARE,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PROBLEMA SOFTWARE,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD DUPLICADA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD DUPLICADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD DUPLICADA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PCB CON RAYADURAS,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PCB CON RAYADURAS,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PCB CON RAYADURAS,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PCB CONTAMINADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PCB CONTAMINADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PCB CONTAMINADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,EXCESO DE PRUEBAS,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CAMBIO DE INGENIERIA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FRACTURADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FRACTURADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,DAÑO POR FIXTURA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,DAÑO POR FIXTURA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,DAÑO POR MAL DISEÑO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,SET UP DE EQUIPO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,SET UP DE EQUIPO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,MAL MANEJO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,MALA REPARACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CONECTOR QUEBRADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CONECTOR QUEBRADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PIN DOBLADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PIN DOBLADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PIN DOBLADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CONECTOR QUEMADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CONECTOR QUEMADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CORRIDA DEL CLIENTE,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CONECTOR FRACTURADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CONECTOR FRACTURADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,LIBERACION DE EQUIPO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PRUEBA DE MANTENIMIENTO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,MSA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PAT CONTAMINADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PAT CONTAMINADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PAT CONTAMINADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,SIN PRUEBA ANTERIOR,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,INDICE ANTERIOR,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PIN ELEVADO ,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PIN ELEVADO ,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PIN ELEVADO ,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PIN SIN EVIDENCIA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PIN SIN EVIDENCIA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PIN SIN EVIDENCIA,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PIN LARGO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PIN SIN SOLDAR,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA DE SOLDADURA LADO A ,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA DE SOLDADURA LADO A ,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA DE SOLDADURA LADO A ,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA DE SOLDADURA LADO B ,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA DE SOLDADURA LADO B ,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA DE SOLDADURA LADO B ,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,SALPICADURAS,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,SALPICADURAS,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,SALPICADURAS,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PERLAS DE SOLDADURA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PERLAS DE SOLDADURA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PERLAS DE SOLDADURA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,EXCESO DE SOLDADURA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,EXCESO DE SOLDADURA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,EXCESO DE SOLDADURA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CORTOS,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CORTOS,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CORTOS,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,SOLDADURA POROSA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,SOLDADURA POROSA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,SOLDADURA POROSA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PICOS DE SOLDADURA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PICOS DE SOLDADURA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,PICOS DE SOLDADURA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,IMPRESION DE PASTA DESPLAZADA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,IMPRESION DE PASTA DESPLAZADA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,IMPRESION DE PASTA DESPLAZADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE DAÑADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE DAÑADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE DAÑADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE DAÑADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FALTANTE,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FALTANTE,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE ARRANCADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE ARRANCADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE DE PANZA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE DE PANZA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE DE CANTO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE DE CANTO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,DESPLAZADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,TOMBSTONE,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,TOMBSTONE,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE ELEVADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE ELEVADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE CON POLARIDAD INVERTIDA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE CON POLARIDAD INVERTIDA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE EQUIVOCADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE ADICIONAL,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COBRE EXPUESTO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COBRE EXPUESTO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COBRE EXPUESTO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,COBRE EXPUESTO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,EXCESO DE FLUX,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,EXCESO DE FLUX,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,ABORTO  DE PCB,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,OLA,FLUJO INADECUADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONECTOR QUEBRADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONECTOR QUEBRADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PIN DOBLADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PIN DOBLADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PIN DOBLADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PIN DOBLADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD CAIDA AL PISO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD GOLPEADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD MANCHADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD RAYADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PRUEBA DESTRUCTIVA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PROBLEMA SOFTWARE,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PROBLEMA SOFTWARE,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DUPLICADA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DUPLICADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DUPLICADA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PCB CON RAYADURAS,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PCB CON RAYADURAS,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PCB CON RAYADURAS,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PCB CONTAMINADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PCB CONTAMINADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PCB CONTAMINADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PRUEBAS,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CAMBIO DE INGENIERIA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,DAÑO POR FIXTURA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,DAÑO POR FIXTURA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,DAÑO POR MAL DISEÑO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,SET UP DE EQUIPO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,SET UP DE EQUIPO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,MAL MANEJO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,MALA REPARACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONECTOR QUEBRADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONECTOR QUEBRADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PIN DOBLADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PIN DOBLADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PIN DOBLADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONECTOR QUEMADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONECTOR QUEMADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CORRIDA DEL CLIENTE,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONECTOR FRACTURADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONECTOR FRACTURADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,LIBERACION DE EQUIPO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PRUEBA DE MANTENIMIENTO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,MSA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PAT CONTAMINADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PAT CONTAMINADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PAT CONTAMINADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,SIN PRUEBA ANTERIOR,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,INDICE ANTERIOR,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONECTOR QUEBRADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONECTOR QUEBRADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PIN DOBLADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PIN DOBLADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PIN DOBLADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PIN DOBLADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD CAIDA AL PISO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD GOLPEADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD MANCHADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD RAYADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PRUEBA DESTRUCTIVA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PROBLEMA SOFTWARE,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PROBLEMA SOFTWARE,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DUPLICADA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DUPLICADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DUPLICADA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,ICT,PCB CON RAYADURAS,MANO DE OBRA,BOSE VW
